"","X","aproovitykk_id","kp","satel","B02","B03","B04","B05","B06","B07","B08","B11","B12","B2","B3","B4","B5","B6","B7","B9","muld","MA","KU","KS","MUU","X21","X31","X37","X42","X43","X44","X45","X48","X51","X53","X57","X61","X63","X64","X77","X999"
"33",53,34111,"2018-05-10","S2",-0.966435810922552,-0.919452959778334,-0.352830441410449,-0.498697568559694,-0.740806931210755,-0.797823909531835,-0.847182538957646,-0.2494444378055,-0.168151789002075,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"34",56,34111,"2015-09-30","S2",0.614185293432051,-0.449488436333222,-0.411612162952185,-1.03442657026284,-1.04014524834947,-0.94703282304594,-1.21142700281702,-0.864544023341005,-0.732564941223053,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"35",57,34111,"2016-04-27","S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"36",58,34111,"2016-05-10","S2",-0.314882073249662,-0.208155302672218,-0.0169348897433919,-0.472241815389168,-0.775157229898805,-0.767626867511124,-0.813386660867601,-0.218534910894168,-0.15866585367063,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"37",60,34111,"2017-05-02","S2",-0.182158163723703,-0.512997155717696,0.117423330923431,-0.00265219661234028,-0.667199148307793,-0.639733513070463,-0.691345989986881,-0.0578053709552428,0.149627044601332,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"38",61,34111,"2017-05-05","S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"39",63,34111,"2017-08-30","S2",-0.182158163723703,-0.83054075264007,-0.629944271535772,-1.23284471904178,-0.367860831169079,-0.197435662296511,-0.580570611802844,-0.53072113269862,-0.789480553211723,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"40",64,34111,"2017-09-24","S2",0.457329763992282,-0.474891924087012,-0.310843497452067,-1.02119869367757,-0.848765012801767,-0.691246114164618,-0.984243600100608,-0.913999266399136,-0.779994617880278,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"41",68,34111,"2018-05-30","S2",-0.942304191008741,-0.843242496516965,-0.44520171811889,-0.683887840753373,-0.0709761067937975,-0.000266740867159145,-0.283917904123557,-0.255626343187767,-0.36735643096242,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"42",69,34111,"2018-06-09","S2",-1.35254172954352,-1.14808434956244,-0.747507714619242,-0.750027223679686,-0.024357844288588,0.106311054500058,-0.195673111332884,-0.360718734686295,-0.528617331596985,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
