"","aproovitykk_id","kp","satel","B02","B03","B04","B05","B06","B07","B08","B11","B12","B2","B3","B4","B5","B6","B7","B9","muld","MA","KU","KS","MUU","21","31","37","42","43","44","45","48","51","53","57","61","63","64","77","999"
"50",34111,2015-08-24,"S2",813,612,385,544,1448,1744,1676,781,300,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"52",34111,2015-08-04,"S2",729,553,330,507,1506,1854,1753,795,315,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"53",34111,2018-05-10,"S2",764,602,408,639,1354,1567,1550,974,457,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"56",34111,2015-09-30,"S2",895,639,401,558,1232,1483,1356,775,338,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"57",34111,2016-04-27,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"58",34111,2016-05-10,"S2",818,658,448,643,1340,1584,1568,984,459,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60",34111,2017-05-02,"S2",829,634,464,714,1384,1656,1633,1036,524,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"61",34111,2017-05-05,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"63",34111,2017-08-30,"S2",829,609,375,528,1506,1905,1692,883,326,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"64",34111,2017-09-24,"S2",882,637,413,560,1310,1627,1477,759,328,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"68",34111,2018-05-30,"S2",766,608,397,611,1627,2016,1850,972,415,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"69",34111,2018-06-09,"S2",732,584,361,601,1646,2076,1897,938,381,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"70",34111,2018-08-23,"S2",846,649,424,562,1308,1720,1572,773,337,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"71",34111,2018-09-19,"S2",897,660,417,547,1292,1573,1480,799,322,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"72",34111,2018-05-27,"S2",861,695,449,689,1785,2262,1989,1082,474,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"74",34235,2015-08-04,"S2",746,600,344,654,2536,3301,3079,1254,475,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
