"","aproovitykk_id","kp","satel","B2","B3","B4","B5","B6","B7","muld","MA","KU","KS","MUU","21","37","42","43","44","45","48","51","53","61","64","77","999"
"115",34264,2018-05-28,"LC08",NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,1,0,0,0,0,0,0,0,0,0,0
"118",34264,2018-08-23,"LC08",8003,7074,6334,10582,7156,5872,42,0,20,25,55,0,0,1,0,0,0,0,0,0,0,0,0,0
"121",34268,2015-06-12,"LC08",8236,7463,6547,13006,8266,6486,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"123",34268,2015-08-08,"LC08",8601,7635,6705,13110,7906,6221,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"128",34268,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"131",34268,2017-06-17,"LC08",8764,7961,7018,14026,8720,6824,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"134",34268,2018-05-10,"LC08",8010,7194,6478,10936,7920,6447,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"136",34268,2018-05-12,"LC08",8271,7302,6540,10761,7773,6419,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"137",34268,2018-05-26,"LC08",8087,7268,6460,12706,8057,6375,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"139",34268,2018-05-28,"LC08",8379,7528,6633,12706,8310,6606,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"142",34268,2018-08-23,"LC08",8067,7213,6449,11328,7280,5969,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"145",34274,2015-06-12,"LC08",8221,7598,6537,17134,9832,6984,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"147",34274,2015-08-08,"LC08",8572,7683,6707,16691,9487,6668,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"152",34274,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"155",34274,2017-06-17,"LC08",8710,7951,6876,18382,9690,7009,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"158",34274,2018-05-10,"LC08",8084,7546,6689,13859,9810,7368,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"160",34274,2018-05-12,"LC08",8257,7603,6653,14124,9576,7215,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"161",34274,2018-05-26,"LC08",8028,7312,6265,17870,9248,6602,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"163",34274,2018-05-28,"LC08",8326,7638,6399,20392,10236,6903,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"166",34274,2018-08-23,"LC08",8057,7260,6436,15516,8591,6316,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"169",34280,2015-06-12,"LC08",8146,7424,6395,15676,8839,6479,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"171",34280,2015-08-08,"LC08",8535,7583,6646,15136,8667,6367,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"176",34280,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"179",34280,2017-06-17,"LC08",8676,7848,6843,16301,9076,6768,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
