"","aproovitykk_id","kp","satel","B2","B3","B4","B5","B6","B7","muld","MA","KU","KS","MUU","21","37","42","43","44","45","48","51","53","61","64","77","999"
"75",34237,2015-08-08,"LC08",NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"80",34237,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"83",34237,2017-06-17,"LC08",-0.191679594887772,-0.210080452927624,-0.569311405896149,0.180882553886093,-0.197149342257215,-0.37438343651478,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"86",34237,2018-05-10,"LC08",-0.552053791626116,-0.105570294264687,-0.483888329910384,0.372287124103397,-0.189284424331367,-0.192057650152339,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"88",34237,2018-05-12,"LC08",NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"89",34237,2018-05-26,"LC08",-0.154392337931572,0.562864818404059,-0.382743501380469,1.08943619270392,0.426233737413508,0.182507016697333,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"91",34237,2018-05-28,"LC08",NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"94",34237,2018-08-23,"LC08",0.113221586656508,-0.214318655423127,-0.345096824453512,0.240533575509116,-0.170207428450463,-0.19762268196669,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"97",34264,2015-06-12,"LC08",-0.403438227581833,-0.230383919451025,-0.576194334072481,0.0410553238361673,-0.106064682347019,-0.142100012206994,42,0,20,25,55,0,0,1,0,0,0,0,0,0,0,0,0,0
"99",34264,2015-08-08,"LC08",NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,1,0,0,0,0,0,0,0,0,0,0
"104",34264,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,1,0,0,0,0,0,0,0,0,0,0
"107",34264,2017-06-17,"LC08",0.197378904020481,-0.366043944199527,-0.151169932186859,-0.615643064984928,-0.569000096249485,-0.232155882638229,42,0,20,25,55,0,0,1,0,0,0,0,0,0,0,0,0,0
"110",34264,2018-05-10,"LC08",-0.581017507679368,-0.386376396772305,-0.269177721940336,-0.915717555290607,-0.485018309028171,-0.048401242434151,42,0,20,25,55,0,0,1,0,0,0,0,0,0,0,0,0,0
"112",34264,2018-05-12,"LC08",NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,1,0,0,0,0,0,0,0,0,0,0
"113",34264,2018-05-26,"LC08",-0.489048711270832,-0.58935567563036,-0.519720249345341,0.098817620449769,-0.426713963717961,-0.160970507730716,42,0,20,25,55,0,0,1,0,0,0,0,0,0,0,0,0,0
"115",34264,2018-05-28,"LC08",NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,1,0,0,0,0,0,0,0,0,0,0
"118",34264,2018-08-23,"LC08",-0.564090858602286,-1.16518126139869,-0.847008163362346,-1.41724342780156,-1.2040729249339,-1.03858339230262,42,0,20,25,55,0,0,1,0,0,0,0,0,0,0,0,0,0
"121",34268,2015-06-12,"LC08",-0.0353046167741778,-0.648640439882945,-0.0506521108092912,-1.01043235410655,-1.08453307781943,-0.783295937933096,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"123",34268,2015-08-08,"LC08",1.47936899823219,0.468942277868388,0.460760377075429,-0.722254477135971,-0.929622109534468,-0.695425458468604,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"128",34268,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"131",34268,2017-06-17,"LC08",1.18454225945933,0.441766959311357,0.771754942216529,-0.809899312901683,-0.850431214012632,-0.355559201442883,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"134",34268,2018-05-10,"LC08",-0.776522591038823,-0.913427850709681,-0.661257962581294,-0.849487274076842,-0.93811517824254,-0.842909130018416,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"136",34268,2018-05-12,"LC08",-0.516221900438464,-1.34658128867591,-0.794691263971946,-1.60489959542588,-1.38709824695054,-1.07630634805637,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"137",34268,2018-05-26,"LC08",-0.454900101746417,-0.686851255894811,-0.188693108430234,-0.758598206259247,-0.850533412724158,-0.563984136392961,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"139",34268,2018-05-28,"LC08",-0.158889226484634,-0.573391785547056,-0.21609740049163,-1.0482321197574,-1.01749435216785,-0.635155452650625,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"142",34268,2018-08-23,"LC08",-0.0714999893231628,-0.289883895633106,-0.263979840387438,-0.972066449950672,-1.06099332497414,-0.821633421817019,42,63,29,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"145",34274,2015-06-12,"LC08",-0.173354720827048,0.104221296894512,-0.0984286765604903,0.593610932865933,0.781826858002491,0.499095913519108,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"147",34274,2015-08-08,"LC08",1.15861545615876,0.900141004345956,0.478190075625712,1.05197856901321,1.21919331148874,0.959230825265684,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"152",34274,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"155",34274,2017-06-17,"LC08",0.870972723025815,0.401776320523689,0.236835219092933,0.823653227494817,0.24590687526549,0.031383408368321,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"158",34274,2018-05-10,"LC08",-0.240693844053651,0.607245196716189,-0.00467914690476847,1.69776419944729,0.771172412206878,0.50716792619027,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"160",34274,2018-05-12,"LC08",-0.604886643461613,-0.091133226543953,-0.462665818359093,0.774078455388439,0.165332094230343,0.0623083136650252,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
