Feature,Importance
B08_vahe_kevad,0.058230874230894125
B08_kevad2,0.045935363455514744
B04_sygis,0.04060438683212064
B07_vahe_kevad,0.03748115129255514
B04_kevad2,0.0244882225373646
B06_vahe_kevad,0.02112113732945553
B11_kevad2,0.018167691087865645
B11_sygis,0.013942453499307783
B06_kevad2,0.007786394888250614
B07_kevad2,0.007101296273355984
B11_vahe_kevad,0.006374432738735947
B05_sygis,0.006328576410340903
B12_kevad2,0.00600239321026208
B08_sygis,0.005732783510601358
B02_sygis,0.005236758146184073
B12_sygis,0.005139843790550436
B07_sygis,0.004478911318079426
B06_kevad1,0.0029840035935043696
B05_kevad1,0.0026182389968503195
B11_kevad1,0.002454388727310408
B12_vahe_kevad,0.002227214247821685
B04_vahe_kevad,0.0021831483689142006
B03_sygis,0.0019300541926609016
B07_kevad1,0.0018504404550390152
B05_vahe_kevad,0.0017415184458080546
B03_vahe_kevad,0.0017343615772908993
B02_kevad2,0.0016905416776634707
B03_kevad2,0.0012764555607903683
B05_kevad2,0.0009219916257492411
B04_kevad1,0.0007285542853188165
B03_kevad1,0.0005850116083941925
B12_kevad1,0.00037707847591983423
42,0.00026400443454788203
48,0.00014370976103950106
44,0.00011781768828966754
B02_vahe_kevad,5.2281632958006696e-05
21,4.213521990736879e-05
37,7.280647248419925e-06
53,3.1908322790652477e-06
57,-7.486453270644233e-07
61,-2.4667151136137377e-06
51,-9.201105970468859e-06
B02_kevad1,-1.5494186993203485e-05
64,-2.0103536641724595e-05
77,-5.473526911004001e-05
45,-5.658356949167498e-05
43,-0.00013264632706921908
999,-0.00015409535426602616
B06_sygis,-0.00016552522810631132
B08_kevad1,-0.0004013577604571328
