"","x","y","kp","B2","B3","B4","B5","B6","B7","satel","muld","21","42","43","44","45","48","51","53","61","64","999","37","77"
"55",669412.50000001,6460162.49999977,"2018-05-26",8302,7818,6624,20952,10994,7824,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"56",669412.50000001,6460162.49999977,"2018-08-23",8238,7726,6838,15134,10792,7717,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"58",669412.50000001,6460187.49999977,"2018-05-10",8473,8061,7205,16771,11875,9028,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"59",669412.50000001,6460187.49999977,"2018-05-12",9116,8901,7997,19868,13943,9856,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"60",669412.50000001,6460187.49999977,"2018-05-26",8432,7972,6851,21199,11862,8355,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"61",669412.50000001,6460187.49999977,"2018-05-28",8918,8731,7496,25499,13588,9132,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"62",669412.50000001,6460187.49999977,"2018-08-23",8350,7727,7010,14036,10786,7858,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"64",669412.50000001,6460187.49999977,"2017-06-17",8850,8578,7188,24439,12388,8407,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"66",669412.50000001,6460212.49999977,"2017-06-17",9196,8989,7789,23002,13112,9407,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"67",669412.50000001,6460212.49999977,"2018-05-10",8729,8535,7956,17320,13374,9942,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"68",669412.50000001,6460212.49999977,"2018-05-12",9254,9144,8538,19956,14205,9920,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"69",669412.50000001,6460212.49999977,"2018-05-26",8693,8440,7445,21479,12971,9217,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"70",669412.50000001,6460212.49999977,"2018-05-28",9055,8877,7628,24924,13574,9077,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"71",669412.50000001,6460212.49999977,"2018-08-23",8478,7989,7289,13920,11664,8752,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"73",669412.50000001,6460237.49999977,"2018-05-12",9185,9156,8465,19288,14075,10007,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"74",669412.50000001,6460237.49999977,"2018-05-26",8737,8591,7437,22302,12679,8766,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"75",669412.50000001,6460237.49999977,"2018-05-10",8920,8810,8117,18421,13527,9873,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"77",669412.50000001,6460237.49999977,"2017-06-17",9097,9170,7717,24009,12728,8940,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"79",669412.50000001,6460237.49999977,"2018-05-28",9086,8967,7828,22655,13394,9030,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"80",669412.50000001,6460237.49999977,"2018-08-23",8486,8032,7314,13940,11427,8603,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"81",669412.50000001,6460262.49999977,"2018-05-10",9254,9260,8967,18016,14089,10368,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"82",669412.50000001,6460262.49999977,"2018-05-26",8779,8850,7740,21818,12288,8252,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"83",669412.50000001,6460262.49999977,"2018-05-28",9198,9171,8109,23054,13073,9301,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"84",669412.50000001,6460262.49999977,"2018-08-23",8442,8057,7099,14486,11002,8086,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
